Cote;CB;Type;Titre;SousTitre;AuteurNom;AuteurPrénom;AuteurAutre;Date;Langue;600;;601$a;;606$a;606$a;606$a;607$a;300$a;330$a
C1991 - BEU3;23063068;ADV;Visages de Beuys;"Organisé dans le cadre de la manifestation Joseph Beuys, une collection vidéo"" organisée par Vidéo les Beaux Jours""";Block;René;;1991;fre;Beuys, Joseph (1921-1986);;;;;;;;"A partir des films qui retracent actions, discours et entretiens de Joseph Beuys, véritables archives visuelles de son itinéraire, il semble possible de poser la question du statut de ces reliques spirituelles que sont toutes choses laissées derrière lui, par lui, objets-témoins toujours ré-interprétables dans leur destination. Enregistrement des interventions lors du colloque Visages de Beuys"" qui s'est tenu le 20 novembre 1991 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg.""";
C1991 - BEU4;23063032;ADV;Visages de Beuys;"Organisé dans le cadre de la manifestation Joseph Beuys, une collection vidéo"" organisée par Vidéo les Beaux Jours""";Block;René;;1991;fre;Beuys, Joseph (1921-1986);;;;;;;;"A partir des films qui retracent actions, discours et entretiens de Joseph Beuys, véritables archives visuelles de son itinéraire, il semble possible de poser la question du statut de ces reliques spirituelles que sont toutes choses laissées derrière lui, par lui, objets-témoins toujours ré-interprétables dans leur destination. Enregistrement des interventions lors du colloque Visages de Beuys"" qui s'est tenu le 20 novembre 1991 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg.""";
C1991-BAT;23050625;K7A;La communication par l'espace scénique;;Batifouiller;Alain;;1991;fre;;;;;;;;;Conférence à l'Ecole des Arts Décoratifs le 20 mars 1991 à 18h.;
C1991-CHR1;23050601;K7A;De l'enquête au scénario: vérité et fiction;;Christin;Pierre;;1991;fre;;;;;Bande dessinée;;;;"Conférence de Jean Plantu à l'Ecole des Arts Décoratifs le 11 mars 1991 à 18h. Scénariste des aventures de Valérian comme ""L'image disparue"", Pierre Christin a parcouru bien des sentiers de la bande dessinée. Alliant l'acuité d'observation du journaliste et l'esprit d'analyse de l'universitaire, Pierre Christin pose un regard singulier et parfois prémonitoire sur notre monde et son actualité.""""";
C1991-CHR2;23050584;K7A;De l'enquête au scénario: vérité et fiction;;Christin;Pierre;;1991;fre;;;;;Bande dessinée;;;;"Conférence de Jean Plantu à l'Ecole des Arts Décoratifs le 11 mars 1991 à 18h. Scénariste des aventures de Valérian comme ""L'image disparue"", Pierre Christin a parcouru bien des sentiers de la bande dessinée. Alliant l'acuité d'observation du journaliste et l'esprit d'analyse de l'universitaire, Pierre Christin pose un regard singulier et parfois prémonitoire sur notre monde et son actualité.""""";
C1991-CUL;23055653;K7A;La céramique architecturale;;Culot;Pierre;;1991;fre;;;;;Céramique;Architecture;;;"Conférence La céramique architecturale"" de Pierre Culot à l'Ecole des Arts Décoratifs de Strasbourg le 30 janvier 1991. ""A travers sa propre expérience de la céramique. Intervention en atelier."" (Source: Rapport d'activité 1990/1991)""";
C1991-HUB;2305144X;K7A;L'objet mixed-média;;Hubaut;Joël;;1991;fre;Hubaut, Joël (1947-....);;;;Art de performance;;;;"Conférence L'objet mixed-média"" de Joël Hubaut le 17 avril 1991 à 18h à l'auditorium de l'Ecole des Arts Décoratifs de Strasbourg. ""Hubaut serait notre Hugo du peuple, notre gaulois brisant les tables initiatiques de la loi centrale... Visionnaire, il englobe dans sa mythologie toutes les formes de sa vie, tournant sans cesse comme un radar halluciné. Scénographe précis, calculateur et improvisé, il dévoile chaque année des faces plus complexes de son cirque planétaire: vidéos, livres, disques, objets, tableaux, écritures, concerts, actions, installations."" (Olivier Lerch, in: Rapport d'activité 1990/1991)""";
C1991-LAC;23053539;CEI;L'image de synthèse pourrait commencer par un crayon et un papier;;Lacroix;Georges;;1991;fre;;;;;Infographie;;;;Conférence de George Lacroix (graphiste, directeur artistique de la société Fantôme) à l'Ecole des Arts Décoratifs le 6 novembre 1991.;
C1991-LAC;23053540;CEI;L'image de synthèse pourrait commencer par un crayon et un papier;;Lacroix;Georges;;1991;fre;;;;;Infographie;;;;Conférence de George Lacroix (graphiste, directeur artistique de la société Fantôme) à l'Ecole des Arts Décoratifs le 6 novembre 1991.;
C1991-PAR;2305563X;K7A;Contraintes et finalités des revues d'art;;;;;1991;fre;;;;;;;;;"Débat sur le thème Contraintes et finalités des revues d'art"" à l'Ecole des Arts Décoratifs, dans le cadre de la Rencontre des revues culturelles en Europe organisée par la revue Ent'revues et Musées de Strasbourg, le 31 mai 1991.""";
C1991-PAR;23055641;K7A;Contraintes et finalités des revues d'art;;;;;1991;fre;;;;;;;;;"Débat sur le thème Contraintes et finalités des revues d'art"" à l'Ecole des Arts Décoratifs, dans le cadre de la Rencontre des revues culturelles en Europe organisée par la revue Ent'revues et Musées de Strasbourg, le 31 mai 1991.""";
C1991-PLA1;23050613;K7A;Le dessin de presse: un éditorial;;Plantu;;;1991;fre;Plantu(1951-....);;;;Caricatures et dessins humoristiques;;;;"Conférence de Jean Plantu à l'Ecole des Arts Décoratifs le 13 mars 1991 à 18h. Les hommes politiques, comme tous les lecteurs du Monde, attendent chaque jour avec impatience les prises de position de Jean Plantu. Dessinateur vedette, il témoigne sur son métier de lecteur de l'actualité.""""";
C1991-PLA2;23050596;K7A;Le dessin de presse: un éditorial;;Plantu;;;1991;fre;Plantu(1951-....);;;;Caricatures et dessins humoristiques;;;;"Conférence de Jean Plantu à l'Ecole des Arts Décoratifs le 13 mars 1991 à 18h. Les hommes politiques, comme tous les lecteurs du Monde, attendent chaque jour avec impatience les prises de position de Jean Plantu. Dessinateur vedette, il témoigne sur son métier de lecteur de l'actualité.""""";
C1991-PLA3;23369380;K7A;Le dessin de presse: un éditorial;;Plantu;;;1991;fre;Plantu(1951-....);;;;Caricatures et dessins humoristiques;;;;"Conférence de Jean Plantu à l'Ecole des Arts Décoratifs le 13 mars 1991 à 18h. Les hommes politiques, comme tous les lecteurs du Monde, attendent chaque jour avec impatience les prises de position de Jean Plantu. Dessinateur vedette, il témoigne sur son métier de lecteur de l'actualité.""""";
C1991-VEN;23055665;K7A;La sculpture dans la ville;;Venet;Bernar;;1991;fre;Venet, Bernar(1941-....);;;;Art dans la rue;;;;"Conférence de Bernar Venet à l'ESAD Strasbourg le 20 octobre 1991. La sculpture de Bernar Venet a été installée il y a un an place de Bordeaux. Invité par l'Ecole des Arts Décoratifs et le CEAAC il présentera, lors d'une conférence, une réflexion sur l'inscription de la sculpture contemporaine dans l'espace urbain"". (Source: Rapport d'activité 1991/1992. Le rapport mentionne la date du 21 octobre et la cassette 20 octobre).""";
C1992-BAI;23051438;K7A;De la photographie et de l'échelle 1;;Bailly-Maître-Grand;Patrick;;1992;fre;;;;;photographie;;;;"Conférence De la photographie et de l'échelle 1"" le 19 février 1992 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Pour Patrick Bailly Maître Grand, convaincu qu'""on ne voit que ce qu'on sait"", il importe de démontrer le principe de l'image photographique (caméra obscura) pour faire apparaître une foule de problèmes théoriques riches en potentialité de création.""""";
C1992-COL;23053515;K7A;Qu'est-ce que le design?;;Colin;Christine;;1992;fre;;;;;Design;;;;"Conférence de Christine Colin à l'Ecole des Arts Décoratifs le 11 mars 1992. Christine Colin pose la question de la conception du design et de ses champs d'application dans une école pluridisciplinaire ou en d'autres termes comment s'articule le design par rapport à la matrice culturelle de l'art?"" (Source: Rapport d'activité 1991/1992)""";
C1992-DOU1;23052889;K7A;Les Trois lumières;;Douchet;Jean;;1993;fre;Lang, Fritz (1877-1961);;;;;;;;"Débat après projection du film Les Trois lumières"" de Fritz Lang, le 29 janvier 1992 à l'Ecole des Arts Décoratifs. ""Analyse de film et recherche de la dramaturgie plastique au cinéma à travers la projection des ""Trois Lumières""."" Par Jean Douchet, réalisateur, écrivain de cinéma, critique, enseignant à Paris VII. (Source: Rapport d'activité 1991/1992)""";
C1992-PAR;23055604;K7A;Je préfère un bon sujet à un bon de commande;;Paris-Clavel;Gérard (....-....);;1992;fre;;;;;Arts graphiques;;;;"Conférence de Gérard Paris Clavel à l'Ecole des Arts Décoratifs le 7 et 8 avril 1992. Rencontre sur le thème de graphisme d'utilité publique, des causes et des sujets humains d'urgence."" (Source: Rapport d'activité 1991/1992)""";
C1992-REC;23055628;K7A;Les avant-gardes à la rencontre du public;;Recht;Roland;;1992;fre;;;;;Expositions artistiques;;;;"Conférence de Roland Recht à l'Ecole des Arts Décoratifs le 1er avril 1992. L'?uvre d'art au musée a perdu une partie de ses fonctions primitives pour en gagner de nouvelles. A partir de 1900 avec la Secession de Vienne et durant les années 20 avec les différentes avant-gardes, l'exposition de l'?uvre d'art s'effectue selon des modalités nouvelles. Lesquelles? Avec quel public?"" (Source: Rapport d'activité 1991/1992)""";
C1992-REC1;23055616;K7A;L'exposition et la question de l'aura;;Recht;Roland;;1992;fre;;;;;Expositions artistiques;;;;"Conférence de Roland Recht à l'Ecole des Arts Décoratifs le 25 mars 1992. Les collections de reliques au Moyen Age puis, à partir de la Renaissance, les cabinets de curiosité constituent les premières formes d'exposition de l'objet insolite ou de l'?uvre d'art. Mais ce n'est qu'au cours du 18e siècle que les collections royales s'ouvrent peu à peu à un plus large public et ce n'est qu'ai 19e siècle que naissent les musées. Pourquoi? Pour répondre à quels besoins?"" (Source: Rapport d'activité 1991/1992)""";
C1993-ALB;23052481;K7A;La distance entre la modernité et l'avant-garde;;Albertazzi;Liliana;;1993;fre;;;;;Modernité;Avant-garde (esthétique);;;"Conférence donnée le 3 février 1993 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. Le thème de l'exposé de Liliana Albertazzi sera en relation avec Chklovski et son texte ""La résurrection du mot"". L'idée est de parler de la perception en termes de connaissance et de reconnaissance. A partir de ce discours, elle parlera des notions de modernité et d'avant-garde."".""(Source: Rapport d'activité 1992/1993)""";
C1993-AME;23367933;K7A;Actualité de la statuaire Dogon;;Amez;Danièle;;1993;fre;;;;;;;;;Conférence donnée par Danièle Amez le 7 décembre 1993. Pas d'information dans le rapport d'activité 1993.;
C1993-BEN2;23052493;K7A;De l'objet-signe au produit;;Benoît;Jean-Marie;;1993;fre;;;;;Design;;;;"Conférence donnée le 28 janvier 1993 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. Deuxième conférence du cycle La culture de l'objet"". ""Un cycle de conférence traitera de la situation contemporaine ces vingt dernières années au regard de l'histoire depuis 1830. Ce séminaire cherche à apporter des éléments de réflexion sur la création contemporaine. Il s'appuie sur le croisement des démarches et des champs de création de l'art et du design."" (Source: Rapport d'activité 1992/1993)""";
C1993-BEN3;2305247X;K7A;L'interrogation de l'objet;;Benoît;Jean-Marie;;1993;fre;;;;;Design;;;;"Conférence donnée le 29 janvier 1993 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. Deuxième conférence du cycle La culture de l'objet"". ""Un cycle de conférence traitera de la situation contemporaine ces vingt dernières années au regard de l'histoire depuis 1830. Ce séminaire cherche à apporter des éléments de réflexion sur la création contemporaine. Il s'appuie sur le croisement des démarches et des champs de création de l'art et du design."" (Source: Rapport d'activité 1992/1993)""";
C1993-BRU1;23052877;K7A;Point de vue. Images du monde;;Bruel;;;1993;fre;;;;;;;;;Conférence de l'artiste Bruel le 17 novembre 1993 à l'Ecole des Arts Décoratifs. (Source: Rapport d'activité 1993/1994);
C1993-BRU2;23052865;K7A;Point de vue. Images du monde;;Bruel;;;1993;fre;;;;;;;;;Conférence de l'artiste Bruel le 17 novembre 1993 à l'Ecole des Arts Décoratifs. (Source: Rapport d'activité 1993/1994);
C1993-CIE;23052853;K7A;Introduction à l'iconographie hollywoodienne - thèmes, mythes, mystifications.;;Cieutat;Michel;;1993;fre;;;;;Cinéma;;;;Conférence donnée le 8 décembre 1993 à l'Ecole des Arts Décoratifs de Strasbourg par Michel Cieutat, Maitre de conférence à l'Université des Sciences Humaines de Strasbourg, critique à Positif et auteur de plusieurs livres sur le cinéma. (Source: Rapport d'activité 1993/1994);
C1993-DOU;23054009;K7A;[Conférence];;Douchet;Jean;;1993;fre;;;;;;;;;Conférence de Jean Douchet, critique de cinéma, enseignant à la Femis et écrivain de cinéma, à l'ESAD Strasbourg le 17 mars 1993. A partir de la rétrospective sur F.W. Murnau présentée par Limeligth, Jean Douchet mènera une réflexion sur l'?uvre de Murnau et sur ce qu'elle a apporté au langage cinématographique.;
C1993-GUE;23052841;K7A;Information et photo;;Guerrin;Rémi;;1993;fre;;;;;Actualité;Photographie de presse;;;"Conférence donnée le 15 décembre 1993 à l'Ecole des Arts Décoratifs de Strasbourg. Information et photo. Analyse de l'évolution et de la place de l'image d'actualité dans la presse quotidienne et les magazines"". (Source: Rapport d'activité 1993/1994)""";
C1993-QUE1;2305283X;K7A;La notion de réalité;;Quéau;Philippe;;1993;fre;;;;;Infographie;;;;"Conférence donnée le 1er décembre 1993 à l'Ecole des Arts Décoratifs de Strasbourg. Un des meilleurs spécialistes des images de synthèse, auteur de plusieurs ouvrages sur ce thème. Directeur de recherche à lINA, il a créé un groupe de recherche sur la télévirtualité. ""La notion de réalité - Transformations induites par le nouveau langage des images de synthèse sur les modes de pensée et de perception"".""(Source: Rapport d'activité 1993/1994)""";
C1993-QUE2;23052828;K7A;La notion de réalité;;Quéau;Philippe;;1993;fre;;;;;Infographie;;;;"Conférence donnée le 1er décembre 1993 à l'Ecole des Arts Décoratifs de Strasbourg. Un des meilleurs spécialistes des images de synthèse, auteur de plusieurs ouvrages sur ce thème. Directeur de recherche à lINA, il a créé un groupe de recherche sur la télévirtualité. ""La notion de réalité - Transformations induites par le nouveau langage des images de synthèse sur les modes de pensée et de perception"".""(Source: Rapport d'activité 1993/1994)""";
C1994 - BAR;23052534;ADV;Aspect du design en France;;Barré-Despond;Arlette;;1994;fre;;;;;Design;;;;Conférence donnée le 7 mars 1994 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg par Arlette Barré-Despond, auteur de plusieurs ouvrages spécialisés dans le domaine des arts appliqués et du design. Troisième volet du cycle de conférences sur les arts appliqués et le design. Source : Rapport d'activité 1993/1994);
C1994 - BAR;23052558;ADV;Les Vhutemas : 1918-1929;ateliers supérieurs d'architecture et de création;Barré-Despond;Arlette;;1994;fre;;;;;Art;Avant-garde (esthétique);;;"Conférence donnée le 14 février 1994 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg par Arlette Barré-Despond. Issus de la première réforme des enseignements artistiques initiée dans les premières années de la Révolution soviétique de 1917, les Vhutemans exerceront une influence durable et déterminante sur le devenir plastique et formel du mouvement moderne soviétique dans le domaine des arts appliqués, plastiques et de l'architecture . Source: Rapport d'activité 1993/1994)""";
C1994 - BAR;2305256X;ADV;L'U.A.M. 1929-1949;L'Union des Artistes Modernes;Barré-Despond;Arlette;;1994;fre;;;UAM(Union des artistes modernes) : 1929-1958;;;;;;Conférence donnée le 7 mars 1994 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg par Arlette Barré-Despond, auteur de plusieurs ouvrages spécialisés dans le domaine des arts appliqués et du design. Souhaitant associer l'art à l'industrie, l'U.A.M. concentra, durant l'entre deux-guerres, les forces vives de l'avant-garde dans le domaine des arts, de l'architecture et des arts décoratifs ;
C1994-BAI;23050318;K7A;De la commande publique (1er volet);;Bainier;Jean Yves;;1994;fre;;;;;Art;;;;"Conférence donnée le 13 avril 1994 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. Conseiller aux Arts Plastiques pour la Région Alsace, Jean-Yves Bainier présentera lors de cette première conférence les mécanismes ministériels et locaux qui ont permis la mise en place d'une véritable politique de la commande publique en France. Ce sera l'occasion de voir se croiser l'expression artistique avec la volonté des pouvoirs décisionnels, et ceci, par une personnalité qui a successivement ?uvré dans les différentes instances de la promotion culturelle, à savoir l'état, la ville, la région ou encore le mécénat."" (Source: Rapport d'activité 1993/1994)""";
C1994-BAI;23050379;K7A;De la commande publique (2ème volet);;Bainier;Jean Yves;;1994;fre;;;;;Art;;;;"Conférence donnée le 13 avril 1994 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. Jean-Yves Bainier dressera un panorama de la commande publique en Alsace et plus précisément à Strasbourg (en particulier dans le cadre de la construction du Tramway).""(Source: Rapport d'activité 1993/1994)""";
C1994-CAR;23053257;K7A;Poussin, peintre baroque ?;;Careri;Giovanni;;1994;fre;Poussin, Nicolas (1594-1665);;;;;;;;"Conférence donnée le 16 mars 1994 à l'Ecole des Arts Décoratifs de Strasbourg. Giovanni Careri posera cette question, un peu provocatrice à partir de deux versions des deux tableaux peints par Poussin, lors de son premier séjour romain: ""Reno et Armide"" (1621) puis ""Tracède et Herminie"" (1637) ont pour thème commun la ""Jérusalem délivrée"" du Tasse (écrivain italien du XVIe siècle). Careri dévoilera le baroquisme de ces ?uvres de Poussin en se fondant sur une analyse minutieuse, tant du point de vue formel que narratif et affectif. Tensions sur des moments de passage - de la haine et de la guerre à l'amour, de la mort à la vue (Résurrection de Trancrède, qu'hermine panse de ses cheveux) -, contraste exacerbé des mouvements des personnages, de l'âme et des affects, jeu des ambiguïtés à l'exemple de l'ambivalence sexuelle de Reno, qui amoureux, se mue en femme.""(Source: Rapport d'activité 1993/1994)""";
C1994-CHI;23053192;K7A;Esthétique et communication;;Chirollet;Jean-Claude;;1994;fre;;;;;Art et technologie;;;;"Conférence Esthétique et communication"" donnée le 23 novembre 1994 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Qu'Est-ce que les sciences et les technologies peuvent apporter à la création? L'esthétique n'est plus restreinte au cercle du beau idéal et de la métaphysique: elle ne craint pas de s'affronter aux technosciences dont elle tire un projet original. Mais la technoscience ne dispense pas les artistes (qui sont prafois des spécialistes de la technologie) de réfléchir aux finalités humanistes des sciences et des techniques qu'ils utilisent."".""(Source: Rapport d'activité 1993/1994)""";
C1994-DEJ;23053270;K7A;[Conférence];;Dejonghe;Bernard;;1994;fre;Dejonghe, Bernard (1942-....);;;;;;;;Conférence donnée le 26 octobre 1994 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. Les sculptures de Bernard Dejonghe sont faites à partir de matériaux tels que l'argile ou le verre qui nécessitent l'action de la chaleur pour leur donner leur aspect définitif. Celui-ci se trouve donc confronté à des phénomènes physiques ou chimiques dont la connaissance est essentielle pour maîtrise la fabrication de ses pièces;
