Cote;ISBD;Note1;;Note2;Indexation 600;Indexation 606;;;
*C1988-GIR*;Conférence Objet [enregistrement audio] / Alain Girel. - Strasbourg : HEAR, 1988. - 1 cassette audio;Conférence de Alain Girel à l'ESAD Strasbourg le 20 avril 1988.;;Fichier numérisé disponible.;;;;;
*C1988-HEN*;Le Livre de collection [enregistrement audio] / Yves Hende. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1988. - 1 cassette audio;Conférence de Yves Hende à l'ESAD Strasbourg le 16 novembre 1988.;;Fichier numérisé disponible.;;;;;
*C1988-OWE1*;[Conférence] [enregistrement audio] / Robert Owen. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1988. - 2 cassettes audio;"Conférence de Robert Owen ""artiste australien"" à l'ESAD Strasbourg le 16 novembre 1988.";;Fichier numérisé disponible.;;;;;
*C1988-OWE2*;[Conférence] [enregistrement audio] / Robert Owen. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1988. - 2 cassettes audio;"Conférence de Robert Owen ""artiste australien"" à l'ESAD Strasbourg le 16 novembre 1988.";;Fichier numérisé disponible.;;;;;
*C1988-REC1*;Modernité [enregistrement audio] / Recht. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1988. - 2 cassettes audio;Conférence de R. Recht à l'Ecole des Arts Décoratifs de Strasbourg le 18 mai 1988.;;Fichier numérisé disponible.;;;;;
*C1988-REC2*;Modernité [enregistrement audio] / Recht. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1988. - 2 cassettes audio;Conférence de R. Recht à l'Ecole des Arts Décoratifs de Strasbourg le 18 mai 1988.;;Fichier numérisé disponible.;;;;;
*C1988-RIN1*;De passage [enregistrement audio] / Rinke. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1988. - 2 cassettes audio;Conférence de Klaus Rinke à l'ESAD Strasbourg le 23 novembre 1988.;;Fichier numérisé disponible.;;;;;
*C1988-RIN2*;De passage [enregistrement audio] / Rinke. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1988. - 2 cassettes audio;Conférence de Klaus Rinke à l'ESAD Strasbourg le 23 novembre 1988.;;Fichier numérisé disponible.;;;;;
*C1988-STE*;Histoire du verre [enregistrement audio] / Stengen. - Strasbourg : HEAR, 1988. - 1 cassette audio;Conférence de Stengen à l'ESAD Strasbourg le 26 avril 1988.;;Fichier numérisé disponible.;;;;;
*C1989-BAR*;Le cubisme et Gertrude Stein [enregistrement audio] / Robert Bartlett Haas. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1989. - 1 cassette audio;"Conférence ""Le cubisme et Gertrude Stein"" de Robert Bartlett Haas à l'Ecole des Arts Décoratifs de Strasbourg le 1er février 1989.";;Fichier numérisé disponible.;Stein;Cubisme;;;
*C1989-BLI1*;Présentation de différentes qualités, utilisations des papiers [enregistrement audio] / Jacques Blindermann. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1989. - 2 cassettes audio;"Conférence ""Présentation de différentes qualités, utilisations des papiers"" de Jacques Blindermann, représentant les Papeteries Canson le mercredi 18 octobre 1989 à 14h30.";;Fichier numérisé disponible.;;Papier;;;
*C1989-BLI2*;Présentation de différentes qualités, utilisations des papiers [enregistrement audio] / Jacques Blindermann. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1989. - 2 cassettes audio;"Conférence ""Présentation de différentes qualités, utilisations des papiers"" de Jacques Blindermann, représentant les Papeteries Canson le mercredi 18 octobre 1989 à 14h30.";;Fichier numérisé disponible.;;Papier;;;
*C1989-DOR1*;La photographie multiple [enregistrement audio] / Jean-Baptiste Dorner. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1989. - 2 cassettes audio;"Conférence ""La photographie multiple"" de Jean-Baptiste Dorner le 1er mars 1989 à 14h30. Etude de la série, séquence ou mosaïque photographique dans sa présentation et son application. Trois parties distinctes: étude historique de 1839 à 1989, étude mécanique (typologie, sémantique), présentation d'?uvres contemporaines.";;Fichier numérisé disponible.;;photographie;;;
*C1989-DOR2*;La photographie multiple [enregistrement audio] / Jean-Baptiste Dorner. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1989. - 2 cassettes audio;"Conférence ""La photographie multiple"" de Jean-Baptiste Dorner le 1er mars 1989 à 14h30. Etude de la série, séquence ou mosaïque photographique dans sa présentation et son application. Trois parties distinctes: étude historique de 1839 à 1989, étude mécanique (typologie, sémantique), présentation d'?uvres contemporaines.";;Fichier numérisé disponible.;;photographie;;;
*C1989-GAM*;L'école d'illustration médicale de Bologne [enregistrement audio] / Giliola Gamberini. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1989. - 1 cassette audio;"Conférence ""L'école d'illustration médicale de Bologne"" de Giliola Gamberini à l'Ecole des Arts Décoratifs de Strasbourg le 22 février 1989. ""L'Université de Bologne est la plus vieille université européenne et possède une longue tradition d'illustration médicale, puisque les premiers documents datent de l'an 1000."" (Source: Rapport d'activité 88/89)";;Fichier numérisé disponible.;;Illustration médicale;;;
*C1989-POU*;Ambiguité du langage de l'image [enregistrement audio] / François Poulet-Mathis. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1989. - 1 cassette audio;"Conférence ""Ambiguité du langage de l'image"" de François Poulet-Mathis à l'Ecole des Arts Décoratifs de Strasbourg le 18 janvier 1989. ""Au travers de documents audio-visuels d'actualité, le propos est de montrer comment les images peuvent rarement être exploitées seules et nécessitent le recours au texte."" (Source: Rapport d'activité 88/89)";;Fichier numérisé disponible.;;Illustrations, images, etc.;;;
*C1990-DUB*;[Conférence de Sylvain Dubuisson, Créateur d'objets] [enregistrement audio] / Sylvain Dubuisson. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1989. - 1 cassette audio;"Conférence de Sylvain Dubuisson le 17 janvier 1990 à 18h. ""Souvent analysés, critiqués, décortiqués, les fragments d'absolu qu'il nous livre au compte-gouttes comme s'il sculptait avec ses objets une ?uvre entière que l'on ne comprendra qu'à la fin"" (Atelier des métiers d'art, juillet 1989). Présentation de son travail.";;Fichier numérisé disponible.;;Design;;;
*C1990-JUR*;Ecriture et cerveau [enregistrement audio] / Baudouin Jurdant. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1990. - 1 cassette audio;"Conférence de Baudouin Jurdant, maître de conférences à l'Université ""Louis Pasteur"", le mercredi 9 mai 1990 à 17h. ""Tout système d'écriture a pour but d'offrir une représentation visuelle de la langue parlée. Les signes qui, dans le cadre de la tradition orale, ne peuvent s'appréhender que par voie acoustique, sollicitent notre temps de la vision. Comment le cerveau humain reçoit-il cette nouvelle modalité de présentation des signes linguistiques? Les différentes écritures ont-elles chacune un impact cognitif propre? Que peuvent nous apprendre les pathologies de la lecture sur le traitement cortical des signes de l'écriture? Telles sont les questions auxquelles cette conférence tentera d'esquisser des réponses."" (Source: Rapport 1989/1990)";;Fichier numérisé disponible.;;Écriture;;;
*C1991 - BEU1*;"Visages de Beuys [enregistrement sonore] : Organisé dans le cadre de la manifestation ""Joseph Beuys, une collection vidéo"" organisée par Vidéo les Beaux Jours / [interventions de René Block, Doris van Drateln, Günther Minas, Joseph Beuys, Anatol Herzfeld, Rainer Rappmann, Harald Szeeman]. - Strasbourg : Ecole Supérieure des Arts Décoratifs , 1991. - 4 cassettes audio";"A partir des films qui retracent actions, discours et entretiens de Joseph Beuys, véritables archives visuelles de son itinéraire, il semble possible de poser la question du statut de ces reliques spirituelles que sont toutes choses laissées derrière lui, par lui, objets-témoins toujours ré-interprétables dans leur destination. Enregistrement des interventions lors du colloque ""Visages de Beuys"" qui s'est tenu le 20 novembre 1991 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg.";;Fichier numérisé disponible.;Beuys;;;;
*C1991 - BEU2*;"Visages de Beuys [enregistrement sonore] : Organisé dans le cadre de la manifestation ""Joseph Beuys, une collection vidéo"" organisée par Vidéo les Beaux Jours / [interventions de René Block, Doris van Drateln, Günther Minas, Joseph Beuys, Anatol Herzfeld, Rainer Rappmann, Harald Szeeman]. - Strasbourg : Ecole Supérieure des Arts Décoratifs , 1991. - 4 cassettes audio";"A partir des films qui retracent actions, discours et entretiens de Joseph Beuys, véritables archives visuelles de son itinéraire, il semble possible de poser la question du statut de ces reliques spirituelles que sont toutes choses laissées derrière lui, par lui, objets-témoins toujours ré-interprétables dans leur destination. Enregistrement des interventions lors du colloque ""Visages de Beuys"" qui s'est tenu le 20 novembre 1991 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg.";;Fichier numérisé disponible.;Beuys;;;;
*C1991 - BEU3*;"Visages de Beuys [enregistrement sonore] : Organisé dans le cadre de la manifestation ""Joseph Beuys, une collection vidéo"" organisée par Vidéo les Beaux Jours / [interventions de René Block, Doris van Drateln, Günther Minas, Joseph Beuys, Anatol Herzfeld, Rainer Rappmann, Harald Szeeman]. - Strasbourg : Ecole Supérieure des Arts Décoratifs , 1991. - 4 cassettes audio";"A partir des films qui retracent actions, discours et entretiens de Joseph Beuys, véritables archives visuelles de son itinéraire, il semble possible de poser la question du statut de ces reliques spirituelles que sont toutes choses laissées derrière lui, par lui, objets-témoins toujours ré-interprétables dans leur destination. Enregistrement des interventions lors du colloque ""Visages de Beuys"" qui s'est tenu le 20 novembre 1991 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg.";;Fichier numérisé disponible.;Beuys;;;;
*C1991 - BEU4*;"Visages de Beuys [enregistrement sonore] : Organisé dans le cadre de la manifestation ""Joseph Beuys, une collection vidéo"" organisée par Vidéo les Beaux Jours / [interventions de René Block, Doris van Drateln, Günther Minas, Joseph Beuys, Anatol Herzfeld, Rainer Rappmann, Harald Szeeman]. - Strasbourg : Ecole Supérieure des Arts Décoratifs , 1991. - 4 cassettes audio";"A partir des films qui retracent actions, discours et entretiens de Joseph Beuys, véritables archives visuelles de son itinéraire, il semble possible de poser la question du statut de ces reliques spirituelles que sont toutes choses laissées derrière lui, par lui, objets-témoins toujours ré-interprétables dans leur destination. Enregistrement des interventions lors du colloque ""Visages de Beuys"" qui s'est tenu le 20 novembre 1991 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg.";;Fichier numérisé disponible.;Beuys;;;;
*C1991-BAT*;La communication par l'espace scénique [enregistrement audio] / Alain Batifouiller. - Strasbourg : Ecole des Arts Décoratifs de Strasbourg, 1991. - 1 cassette audio;Conférence à l'Ecole des Arts Décoratifs le 20 mars 1991 à 18h.;;Fichier numérisé disponible.;;;;;
*C1991-CHR1*;De l'enquête au scénario: vérité et fiction [enregistrement audio] / Pierre Christin. - Strasbourg : Ecole des Arts Décoratifs de Strasbourg, 1991. - 2 cassettes audio (une 3ème était vide);"Conférence de Jean Plantu à l'Ecole des Arts Décoratifs le 11 mars 1991 à 18h. ""Scénariste des aventures de Valérian comme ""L'image disparue"", Pierre Christin a parcouru bien des sentiers de la bande dessinée. Alliant l'acuité d'observation du journaliste et l'esprit d'analyse de l'universitaire, Pierre Christin pose un regard singulier et parfois prémonitoire sur notre monde et son actualité.""";;Fichier numérisé disponible.;;Bande dessinée;;;
*C1991-CHR2*;De l'enquête au scénario: vérité et fiction [enregistrement audio] / Pierre Christin. - Strasbourg : Ecole des Arts Décoratifs de Strasbourg, 1991. - 2 cassettes audio (une 3ème était vide);"Conférence de Jean Plantu à l'Ecole des Arts Décoratifs le 11 mars 1991 à 18h. ""Scénariste des aventures de Valérian comme ""L'image disparue"", Pierre Christin a parcouru bien des sentiers de la bande dessinée. Alliant l'acuité d'observation du journaliste et l'esprit d'analyse de l'universitaire, Pierre Christin pose un regard singulier et parfois prémonitoire sur notre monde et son actualité.""";;Fichier numérisé disponible.;;Bande dessinée;;;
*C1991-CUL*;La céramique architecturale [enregistrement audio] / Pierre Culot. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1991. - 1 cassette audio;"Conférence ""La céramique architecturale"" de Pierre Culot à l'Ecole des Arts Décoratifs de Strasbourg le 30 janvier 1991. ""A travers sa propre expérience de la céramique. Intervention en atelier."" (Source: Rapport d'activité 1990/1991)";;Fichier numérisé disponible.;;Céramique;;;
*C1991-HUB*;L'objet mixed-média [enregistrement audio] / Joël Hubaut. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1991. - 1 cassette audio;"Conférence ""L'objet mixed-média"" de Joël Hubaut le 17 avril 1991 à 18h à l'auditorium de l'Ecole des Arts Décoratifs de Strasbourg. ""Hubaut serait notre Hugo du peuple, notre gaulois brisant les tables initiatiques de la loi centrale... Visionnaire, il englobe dans sa mythologie toutes les formes de sa vie, tournant sans cesse comme un radar halluciné. Scénographe précis, calculateur et improvisé, il dévoile chaque année des faces plus complexes de son cirque planétaire: vidéos, livres, disques, objets, tableaux, écritures, concerts, actions, installations."" (Olivier Lerch, in: Rapport d'activité 1990/1991)";;Fichier numérisé disponible.;Hubaut;Art de performance;;;
*C1991-LAC*;L'image de synthèse pourrait commencer par un crayon et un papier [enregistrement audio] / Georges Lacroix. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1991. - 2 cassettes audio;Conférence de George Lacroix (graphiste, directeur artistique de la société Fantôme) à l'Ecole des Arts Décoratifs le 6 novembre 1991.;;Fichier numérisé disponible.;;Infographie;;;
*C1991-LAC*;L'image de synthèse pourrait commencer par un crayon et un papier [enregistrement audio] / Georges Lacroix. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1991. - 2 cassettes audio;Conférence de George Lacroix (graphiste, directeur artistique de la société Fantôme) à l'Ecole des Arts Décoratifs le 6 novembre 1991.;;Fichier numérisé disponible.;;Infographie;;;
*C1991-PAR*;Contraintes et finalités des revues d'art [enregistrement audio] / Parkett. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1991. - 2 cassettes audio;"Débat sur le thème ""Contraintes et finalités des revues d'art"" à l'Ecole des Arts Décoratifs, dans le cadre de la Rencontre des revues culturelles en Europe organisée par la revue Ent'revues et Musées de Strasbourg, le 31 mai 1991.";;Fichier numérisé disponible.;;;;;
*C1991-PAR*;Contraintes et finalités des revues d'art [enregistrement audio] / Parkett. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1991. - 2 cassettes audio;"Débat sur le thème ""Contraintes et finalités des revues d'art"" à l'Ecole des Arts Décoratifs, dans le cadre de la Rencontre des revues culturelles en Europe organisée par la revue Ent'revues et Musées de Strasbourg, le 31 mai 1991.";;Fichier numérisé disponible.;;;;;
*C1991-PLA1*;Le dessin de presse: un éditorial [enregistrement audio] / Jean Plantu. - Strasbourg : Ecole des Arts Décoratifs de Strasbourg, 1991. - 2 cassettes audio;"Conférence de Jean Plantu à l'Ecole des Arts Décoratifs le 13 mars 1991 à 18h. ""Les hommes politiques, comme tous les lecteurs du Monde, attendent chaque jour avec impatience les prises de position de Jean Plantu. Dessinateur vedette, il témoigne sur son métier de lecteur de l'actualité.""";;Fichier numérisé disponible.;Plantu;Caricatures et dessins humoristiques;;;
*C1991-PLA2*;Le dessin de presse: un éditorial [enregistrement audio] / Jean Plantu. - Strasbourg : Ecole des Arts Décoratifs de Strasbourg, 1991. - 2 cassettes audio;"Conférence de Jean Plantu à l'Ecole des Arts Décoratifs le 13 mars 1991 à 18h. ""Les hommes politiques, comme tous les lecteurs du Monde, attendent chaque jour avec impatience les prises de position de Jean Plantu. Dessinateur vedette, il témoigne sur son métier de lecteur de l'actualité.""";;Fichier numérisé disponible.;Plantu;Caricatures et dessins humoristiques;;;
*C1991-VEN*;La sculpture dans la ville [enregistrement audio] / Bernar Venet. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1991. - 1 cassette audio;"Conférence de Bernar Venet à l'ESAD Strasbourg le 20 octobre 1991. ""La sculpture de Bernar Venet a été installée il y a un an place de Bordeaux. Invité par l'Ecole des Arts Décoratifs et le CEAAC il présentera, lors d'une conférence, une réflexion sur l'inscription de la sculpture contemporaine dans l'espace urbain"". (Source: Rapport d'activité 1991/1992. Le rapport mentionne la date du 21 octobre et la cassette 20 octobre).";;Fichier numérisé disponible.;Venet;Art dans la rue;;;
*C1992-BAI*;De la photographie et de l'échelle 1 [enregistrement audio] / Patrick Bailly Maître Grand. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1992. - 1 cassette audio;"Conférence ""De la photographie et de l'échelle 1"" le 19 février 1992 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Pour Patrick Bailly Maître Grand, convaincu qu'""on ne voit que ce qu'on sait"", il importe de démontrer le principe de l'image photographique (caméra obscura) pour faire apparaître une foule de problèmes théoriques riches en potentialité de création.""";;Fichier numérisé disponible.;;photographie;;;
*C1992-COL*;Qu'est-ce que le design? [enregistrement audio] / Christine Colin. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1992. - 1 cassette audio;"Conférence de Christine Colin à l'Ecole des Arts Décoratifs le 11 mars 1992. ""Christine Colin pose la question de la conception du design et de ses champs d'application dans une école pluridisciplinaire ou en d'autres termes comment s'articule le design par rapport à la matrice culturelle de l'art?"" (Source: Rapport d'activité 1991/1992)";;Fichier numérisé disponible.;;Design;;;
*C1992-DOU1*;Les Trois lumières [enregistrement audio] / Jean Douchet. - Strasbourg : HEAR, 1993. - 1 cassette audio;"Débat après projection du film ""Les Trois lumières"" de Fritz Lang, le 29 janvier 1992 à l'Ecole des Arts Décoratifs. ""Analyse de film et recherche de la dramaturgie plastique au cinéma à travers la projection des ""Trois Lumières""."" Par Jean Douchet, réalisateur, écrivain de cinéma, critique, enseignant à Paris VII. (Source: Rapport d'activité 1991/1992)";;Fichier numérisé disponible.;Lang;;;;
*C1992-PAR*;Je préfère un bon sujet à un bon de commande [enregistrement audio] / Gérard Paris Clavel. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1992. - 1 cassette audio;"Conférence de Gérard Paris Clavel à l'Ecole des Arts Décoratifs le 7 et 8 avril 1992. ""Rencontre sur le thème de graphisme d'utilité publique, des causes et des sujets humains d'urgence."" (Source: Rapport d'activité 1991/1992)";;Fichier numérisé disponible.;;Arts graphiques;;;
*C1992-REC*;Les avant-gardes à la rencontre du public [enregistrement audio] / Roland Recht. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1992. - 1 cassette audio;"Conférence de Roland Recht à l'Ecole des Arts Décoratifs le 1er avril 1992. ""L'?uvre d'art au musée a perdu une partie de ses fonctions primitives pour en gagner de nouvelles. A partir de 1900 avec la Secession de Vienne et durant les années 20 avec les différentes avant-gardes, l'exposition de l'?uvre d'art s'effectue selon des modalités nouvelles. Lesquelles? Avec quel public?"" (Source: Rapport d'activité 1991/1992)";;Fichier numérisé disponible.;;Expositions artistiques;;;
*C1992-REC1*;L'exposition et la question de l'aura [enregistrement audio] / Roland Recht. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1992. - 1 cassette audio;"Conférence de Roland Recht à l'Ecole des Arts Décoratifs le 25 mars 1992. ""Les collections de reliques au Moyen Age puis, à partir de la Renaissance, les cabinets de curiosité constituent les premières formes d'exposition de l'objet insolite ou de l'?uvre d'art. Mais ce n'est qu'au cours du 18e siècle que les collections royales s'ouvrent peu à peu à un plus large public et ce n'est qu'ai 19e siècle que naissent les musées. Pourquoi? Pour répondre à quels besoins?"" (Source: Rapport d'activité 1991/1992)";;Fichier numérisé disponible.;;Expositions artistiques;;;
*C1993-ALB*;La distance entre la modernité et l'avant-garde [enregistrement audio] / Liliana Albertazzi. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1993. - 1 cassette audio;"Conférence donnée le 3 février 1993 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Le thème de l'exposé de Liliana Albertazzi sera en relation avec Chklovski et son texte ""La résurrection du mot"". L'idée est de parler de la perception en termes de connaissance et de reconnaissance. A partir de ce discours, elle parlera des notions de modernité et d'avant-garde."".""(Source: Rapport d'activité 1992/1993)";;Fichier numérisé disponible.;;Modernité;;;
*C1993-BEN2*;De l'objet-signe au produit [enregistrement audio] / Jean-Marie Benoît. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1993. - 1 cassette audio;"Conférence donnée le 28 janvier 1993 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. Deuxième conférence du cycle ""La culture de l'objet"". ""Un cycle de conférence traitera de la situation contemporaine ces vingt dernières années au regard de l'histoire depuis 1830. Ce séminaire cherche à apporter des éléments de réflexion sur la création contemporaine. Il s'appuie sur le croisement des démarches et des champs de création de l'art et du design."" (Source: Rapport d'activité 1992/1993)";;Fichier numérisé disponible.;;Design;;;
*C1993-BEN3*;L'interrogation de l'objet [enregistrement audio] / Jean-Marie Benoît. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1993. - 1 cassette audio;"Conférence donnée le 29 janvier 1993 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. Deuxième conférence du cycle ""La culture de l'objet"". ""Un cycle de conférence traitera de la situation contemporaine ces vingt dernières années au regard de l'histoire depuis 1830. Ce séminaire cherche à apporter des éléments de réflexion sur la création contemporaine. Il s'appuie sur le croisement des démarches et des champs de création de l'art et du design."" (Source: Rapport d'activité 1992/1993)";;Fichier numérisé disponible.;;Design;;;
*C1993-BRU1*;Point de vue. Images du monde [enregistrement audio] / Bruel. - Strasbourg : HEAR, 1993. - 2 cassettes audio;Conférence de l'artiste Bruel le 17 novembre 1993 à l'Ecole des Arts Décoratifs. (Source: Rapport d'activité 1993/1994);;Fichier numérisé disponible.;;;;;
*C1993-BRU2*;Point de vue. Images du monde [enregistrement audio] / Bruel. - Strasbourg : HEAR, 1993. - 2 cassettes audio;Conférence de l'artiste Bruel le 17 novembre 1993 à l'Ecole des Arts Décoratifs. (Source: Rapport d'activité 1993/1994);;Fichier numérisé disponible.;;;;;
*C1993-CIE*;Introduction à l'iconographie hollywoodienne - thèmes, mythes, mystifications. [enregistrement audio] / Michel Cieutat. - Strasbourg : HEAR, 1993. - 1 cassette audio;Conférence donnée le 8 décembre 1993 à l'Ecole des Arts Décoratifs de Strasbourg par Michel Cieutat, Maitre de conférence à l'Université des Sciences Humaines de Strasbourg, critique à Positif et auteur de plusieurs livres sur le cinéma. (Source: Rapport d'activité 1993/1994);;Fichier numérisé disponible.;;Cinéma;;;
*C1993-DOU*;[Conférence] [enregistrement audio] / Jean Douchet. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1993. - 1 cassette audio;Conférence de Jean Douchet, critique de cinéma, enseignant à la Femis et écrivain de cinéma, à l'ESAD Strasbourg le 17 mars 1993. A partir de la rétrospective sur F.W. Murnau présentée par Limeligth, Jean Douchet mènera une réflexion sur l'?uvre de Murnau et sur ce qu'elle a apporté au langage cinématographique.;;Fichier numérisé disponible.;;;;;
*C1993-GUE*;Information et photo [enregistrement audio] / Michel Cieutat. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1993. - 1 cassette audio;"Conférence donnée le 15 décembre 1993 à l'Ecole des Arts Décoratifs de Strasbourg. ""Information et photo. Analyse de l'évolution et de la place de l'image d'actualité dans la presse quotidienne et les magazines"". (Source: Rapport d'activité 1993/1994)";;Fichier numérisé disponible.;;Actualité;;;
*C1993-QUE1*;La notion de réalité [enregistrement audio] / Philippe Quéau. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1993. - 2 cassettes audio;"Conférence donnée le 1er décembre 1993 à l'Ecole des Arts Décoratifs de Strasbourg. ""Un des meilleurs spécialistes des images de synthèse, auteur de plusieurs ouvrages sur ce thème. Directeur de recherche à lINA, il a créé un groupe de recherche sur la télévirtualité. ""La notion de réalité - Transformations induites par le nouveau langage des images de synthèse sur les modes de pensée et de perception"".""(Source: Rapport d'activité 1993/1994)";;Fichier numérisé disponible.;;Infographie;;;
*C1993-QUE2*;La notion de réalité [enregistrement audio] / Philippe Quéau. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1993. - 2 cassettes audio;"Conférence donnée le 1er décembre 1993 à l'Ecole des Arts Décoratifs de Strasbourg. ""Un des meilleurs spécialistes des images de synthèse, auteur de plusieurs ouvrages sur ce thème. Directeur de recherche à lINA, il a créé un groupe de recherche sur la télévirtualité. ""La notion de réalité - Transformations induites par le nouveau langage des images de synthèse sur les modes de pensée et de perception"".""(Source: Rapport d'activité 1993/1994)";;Fichier numérisé disponible.;;Infographie;;;
